,released,year,age,sex,employed,citizen,checks
1208,No,2000,50,Male,Yes,Yes,3
1209,No,1997,19,Male,Yes,No,1
1210,Yes,2001,22,Male,Yes,Yes,0
1211,Yes,1998,44,Male,Yes,Yes,3
1212,Yes,2000,18,Male,No,No,5
1213,Yes,2001,24,Male,Yes,Yes,0
1214,Yes,2001,34,Male,Yes,Yes,3
1215,Yes,2001,21,Male,No,Yes,4
1216,No,1999,16,Male,Yes,Yes,3
1217,Yes,2001,16,Male,Yes,Yes,4
1218,Yes,1998,41,Female,Yes,Yes,0
1219,No,2000,21,Male,Yes,Yes,4
1220,Yes,1999,43,Female,Yes,Yes,0
1221,Yes,1999,15,Male,Yes,Yes,0
1222,Yes,1997,21,Male,Yes,No,5
1223,Yes,2000,22,Male,Yes,Yes,2
1224,Yes,2000,21,Female,No,Yes,4
1225,Yes,1998,39,Male,Yes,Yes,3
1226,No,2000,21,Male,Yes,Yes,3
1227,Yes,1998,23,Male,Yes,Yes,0
1228,Yes,2000,18,Female,Yes,Yes,0
1229,Yes,2001,20,Male,Yes,Yes,3
1230,Yes,2002,16,Male,Yes,Yes,0
1231,Yes,2000,45,Male,Yes,Yes,3
1232,Yes,2001,31,Male,Yes,Yes,3
1233,Yes,2001,27,Female,Yes,Yes,0
1234,Yes,1999,20,Male,No,Yes,2
1235,Yes,2001,24,Male,Yes,Yes,0
1236,Yes,2001,18,Male,Yes,No,0
1237,No,2001,36,Male,No,Yes,3
1238,Yes,1997,17,Male,Yes,Yes,0
1239,Yes,1997,28,Male,Yes,No,0
1240,Yes,2000,18,Male,Yes,Yes,1
1241,Yes,2000,17,Male,No,Yes,0
1242,Yes,2001,18,Male,No,Yes,2
1243,Yes,1998,21,Male,Yes,Yes,3
1244,Yes,2001,38,Male,No,Yes,2
1245,No,1998,20,Male,Yes,Yes,3
1246,Yes,2001,17,Male,Yes,Yes,0
1247,No,1997,23,Male,No,No,4
1248,No,2001,18,Male,Yes,Yes,3
1249,Yes,2000,17,Male,Yes,Yes,2
1250,Yes,1998,30,Male,Yes,Yes,2
1251,Yes,1998,36,Female,Yes,Yes,0
1252,Yes,1999,35,Male,Yes,Yes,0
1253,Yes,1998,14,Male,Yes,Yes,2
1254,Yes,1999,19,Female,Yes,No,1
1255,No,2001,27,Male,Yes,Yes,1
1256,Yes,1999,22,Male,Yes,Yes,0
1257,Yes,2000,18,Male,Yes,Yes,0
1258,Yes,2001,19,Male,Yes,Yes,0
1259,Yes,2001,32,Female,No,Yes,0
1260,Yes,1999,23,Male,Yes,Yes,0
1261,Yes,2000,22,Female,Yes,Yes,0
1262,Yes,2000,48,Male,Yes,Yes,1
1263,No,1999,33,Male,Yes,Yes,3
1264,Yes,2001,18,Male,Yes,Yes,2
1265,No,2001,17,Male,Yes,Yes,3
1266,Yes,2001,19,Male,Yes,Yes,0
1267,No,1997,18,Male,Yes,Yes,0
1268,No,2001,40,Male,No,Yes,3
1269,Yes,2001,22,Male,Yes,Yes,1
1270,Yes,2001,19,Male,Yes,Yes,1
1271,Yes,2000,24,Male,Yes,Yes,4
1272,Yes,2000,18,Male,Yes,Yes,3
1273,Yes,1997,21,Male,No,Yes,0
1274,Yes,2000,15,Male,Yes,No,0
1275,No,1998,20,Male,No,Yes,4
1276,Yes,1998,19,Male,Yes,Yes,3
1277,Yes,2001,19,Male,Yes,Yes,3
1278,Yes,2002,21,Male,No,Yes,3
1279,Yes,2000,17,Male,Yes,Yes,3
1280,Yes,2001,23,Male,Yes,Yes,0
1281,Yes,2000,43,Male,Yes,Yes,3
1282,Yes,2000,21,Male,No,Yes,0
1283,No,1997,19,Male,Yes,Yes,3
1284,Yes,1998,17,Male,No,Yes,3
1285,Yes,1999,37,Male,Yes,Yes,0
1286,No,2000,15,Male,Yes,Yes,1
1287,Yes,1997,23,Male,Yes,No,0
1288,Yes,2000,33,Male,Yes,Yes,3
1289,Yes,2001,19,Male,Yes,No,0
1290,Yes,2000,17,Male,Yes,Yes,2
1291,Yes,2001,18,Male,Yes,Yes,2
1292,Yes,1998,21,Male,Yes,Yes,0
1293,Yes,2000,15,Male,Yes,Yes,0
1294,Yes,1997,23,Male,Yes,No,1
1295,Yes,1998,16,Male,Yes,Yes,4
1296,Yes,1999,43,Male,Yes,Yes,0
1297,Yes,1998,16,Male,Yes,Yes,0
1298,Yes,1999,26,Male,Yes,Yes,1
1299,Yes,1998,19,Male,Yes,Yes,2
1300,Yes,1998,25,Female,Yes,Yes,0
1301,No,1999,17,Male,Yes,No,1
1302,No,1999,15,Male,No,Yes,1
1303,Yes,1999,17,Female,Yes,Yes,1
1304,Yes,2000,19,Male,Yes,Yes,0
1305,Yes,2002,38,Male,Yes,No,1
1306,No,1997,16,Male,Yes,No,2
1307,No,1997,24,Male,No,No,2
1308,Yes,2001,20,Male,Yes,Yes,1
1309,Yes,2001,21,Male,Yes,Yes,2
1310,Yes,1999,24,Male,Yes,Yes,0
1311,Yes,2001,32,Male,No,Yes,4
1312,Yes,2001,20,Male,Yes,Yes,1
1313,Yes,2001,30,Male,Yes,No,0
1314,Yes,1999,18,Male,Yes,Yes,4
1315,Yes,1998,39,Male,Yes,Yes,2
1316,Yes,2001,24,Male,Yes,Yes,0
1317,No,1998,35,Male,No,Yes,4
1318,Yes,2000,18,Male,Yes,Yes,1
1319,No,1997,17,Male,Yes,No,0
1320,Yes,2002,26,Male,Yes,Yes,0
1321,Yes,1999,51,Male,No,No,4
1322,Yes,2001,23,Male,Yes,Yes,0
1323,Yes,1998,26,Male,No,Yes,3
1324,Yes,1998,14,Female,Yes,Yes,0
1325,Yes,1999,21,Male,No,No,4
1326,Yes,2002,16,Male,Yes,Yes,2
1327,Yes,2001,16,Male,Yes,Yes,1
1328,Yes,1999,18,Male,Yes,Yes,2
1329,No,2000,26,Male,Yes,No,3
1330,Yes,2001,26,Male,Yes,Yes,0
1331,Yes,2001,18,Male,Yes,Yes,2
1332,Yes,1998,28,Male,Yes,Yes,3
1333,Yes,1999,28,Male,Yes,Yes,0
1334,Yes,1998,20,Male,Yes,Yes,0
1335,Yes,2002,18,Male,Yes,Yes,0
1336,Yes,2002,16,Male,Yes,No,0
1337,Yes,2002,19,Male,Yes,Yes,2
1338,Yes,2001,25,Female,No,Yes,1
1339,Yes,1997,18,Male,Yes,No,4
1340,Yes,2002,16,Male,Yes,Yes,1
1341,Yes,1999,21,Male,No,Yes,1
1342,Yes,2002,36,Male,Yes,Yes,3
1343,Yes,1997,21,Female,Yes,Yes,0
1344,Yes,1997,32,Male,No,Yes,3
1345,Yes,1998,17,Male,Yes,Yes,0
1346,No,2001,14,Male,Yes,Yes,0
1347,No,2001,21,Male,Yes,Yes,4
1348,Yes,2000,18,Male,Yes,Yes,0
1349,Yes,2002,19,Male,Yes,Yes,1
1350,Yes,1998,18,Male,Yes,Yes,4
1351,Yes,2001,19,Male,No,Yes,3
1352,Yes,2000,20,Male,Yes,Yes,2
1353,No,1999,18,Male,Yes,Yes,3
1354,Yes,1997,29,Female,No,No,1
1355,Yes,1999,30,Male,Yes,Yes,0
1356,Yes,2000,20,Male,Yes,No,0
1357,Yes,2000,20,Male,Yes,Yes,3
1358,Yes,1997,18,Male,Yes,No,3
1359,Yes,2000,36,Male,Yes,Yes,1
1360,Yes,2001,17,Male,Yes,Yes,1
1361,Yes,2001,17,Male,Yes,Yes,0
1362,Yes,2001,15,Male,Yes,Yes,0
1363,Yes,1999,22,Male,Yes,Yes,0
1364,Yes,1998,18,Male,Yes,Yes,2
1365,No,2001,15,Male,No,Yes,3
1366,Yes,1999,16,Male,Yes,Yes,3
1367,Yes,1999,19,Male,Yes,Yes,2
1368,Yes,2002,29,Male,Yes,No,3
1369,Yes,1998,22,Male,Yes,No,0
1370,Yes,1997,41,Male,Yes,Yes,2
1371,Yes,2000,19,Male,Yes,Yes,0
1372,Yes,2001,46,Male,Yes,Yes,2
1373,Yes,2000,20,Female,Yes,Yes,1
1374,Yes,2000,17,Male,Yes,Yes,0
1375,Yes,1999,29,Male,Yes,No,0
1376,Yes,2001,18,Male,Yes,Yes,2
1377,Yes,2000,16,Male,Yes,Yes,0
1378,Yes,1999,28,Female,Yes,Yes,0
1379,Yes,1998,15,Male,Yes,Yes,0
1380,Yes,1999,21,Male,Yes,Yes,0
1381,Yes,2001,16,Male,Yes,Yes,4
1382,Yes,2000,27,Male,Yes,Yes,3
1383,Yes,1998,24,Male,Yes,Yes,0
1384,Yes,1998,15,Female,Yes,Yes,0
1385,No,1998,20,Male,No,Yes,1
1386,Yes,2001,28,Male,No,Yes,1
1387,Yes,1999,18,Male,Yes,Yes,0
1388,Yes,2000,18,Male,Yes,Yes,1
1389,Yes,1997,24,Male,Yes,No,0
1390,Yes,2001,23,Male,Yes,Yes,0
1391,Yes,1999,21,Male,Yes,Yes,1
1392,No,1997,32,Male,No,No,0
1393,Yes,2001,20,Male,Yes,Yes,1
1394,Yes,1999,16,Female,Yes,Yes,2
1395,Yes,1999,19,Male,Yes,Yes,3
1396,Yes,2000,39,Male,Yes,Yes,1
1397,Yes,2000,17,Male,Yes,Yes,0
1398,Yes,2000,31,Male,Yes,Yes,0
1399,Yes,2001,18,Male,Yes,Yes,0
1400,Yes,1999,18,Male,No,Yes,4
1401,Yes,2001,24,Male,No,No,1
1402,Yes,2001,18,Male,Yes,Yes,1
1403,Yes,1999,28,Male,Yes,Yes,0
1404,No,2000,19,Male,Yes,Yes,3
1405,No,2001,42,Male,No,Yes,3
1406,Yes,2000,36,Male,No,No,3
1407,Yes,2002,25,Male,No,Yes,1
1408,Yes,1998,15,Male,Yes,No,2
1409,Yes,1997,27,Male,Yes,Yes,2
1410,Yes,2000,24,Male,Yes,Yes,1
1411,No,1997,39,Male,Yes,Yes,2
1412,Yes,2001,36,Male,No,Yes,3
1413,Yes,2000,21,Male,No,Yes,4
1414,No,1998,19,Female,No,Yes,2
1415,Yes,1998,21,Female,Yes,Yes,3
1416,Yes,2001,24,Male,Yes,Yes,3
1417,Yes,1999,18,Male,Yes,Yes,0
1418,Yes,1997,22,Male,Yes,No,4
1419,No,2001,23,Male,Yes,Yes,2
1420,Yes,2001,33,Female,Yes,Yes,3
1421,Yes,2001,18,Male,Yes,Yes,1
1422,Yes,1999,35,Male,Yes,Yes,4
1423,Yes,2001,21,Female,Yes,Yes,2
1424,Yes,2000,17,Male,Yes,Yes,3
1425,Yes,2000,20,Male,Yes,Yes,0
1426,Yes,2000,33,Male,Yes,Yes,0
1427,Yes,2001,24,Male,Yes,Yes,0
1428,Yes,2000,18,Male,Yes,No,0
1429,Yes,1998,26,Male,No,Yes,5
1430,Yes,1999,19,Male,No,Yes,5
1431,Yes,2001,24,Female,Yes,Yes,2
1432,Yes,2000,17,Male,Yes,Yes,3
1433,Yes,2001,21,Male,No,Yes,0
1434,Yes,2000,23,Male,Yes,Yes,0
1435,Yes,1999,24,Male,Yes,Yes,1
1436,Yes,1999,19,Male,Yes,Yes,0
1437,Yes,1997,16,Male,Yes,No,0
1438,Yes,2002,20,Male,Yes,Yes,0
1439,Yes,2002,36,Male,Yes,Yes,2
1440,Yes,2000,19,Female,Yes,Yes,0
1441,Yes,2001,21,Male,Yes,Yes,3
1442,Yes,2000,33,Male,Yes,Yes,0
1443,No,1999,13,Male,Yes,Yes,0
1444,Yes,2000,16,Female,Yes,Yes,0
1445,Yes,1998,24,Male,Yes,Yes,2
1446,Yes,2001,19,Female,Yes,Yes,0
1447,Yes,2000,17,Male,Yes,Yes,0
1448,Yes,1998,22,Female,No,Yes,3
1449,No,2000,21,Male,No,Yes,5
1450,Yes,1999,24,Male,Yes,Yes,0
1451,No,1999,37,Male,Yes,Yes,3
1452,No,1998,16,Male,Yes,Yes,0
1453,No,2001,45,Male,Yes,Yes,2
1454,Yes,2001,20,Male,No,Yes,0
1455,Yes,1998,39,Male,No,Yes,3
1456,No,2000,16,Female,No,Yes,3
1457,Yes,1998,18,Male,No,Yes,4
1458,Yes,1998,19,Male,Yes,Yes,0
1459,Yes,1999,19,Male,No,Yes,0
1460,No,2001,31,Male,No,Yes,3
1461,No,1998,17,Male,Yes,Yes,0
1462,Yes,1999,31,Male,Yes,No,2
1463,Yes,1997,15,Male,Yes,Yes,0
1464,No,1999,18,Male,No,Yes,4
1465,Yes,2001,22,Male,No,Yes,3
1466,No,1999,19,Male,No,No,0
1467,Yes,2000,24,Male,Yes,Yes,0
1468,Yes,2001,23,Male,Yes,Yes,0
1469,No,1998,24,Female,Yes,Yes,0
1470,Yes,2001,21,Male,No,Yes,1
1471,Yes,2000,28,Male,No,Yes,0
1472,Yes,2001,44,Male,No,Yes,2
1473,Yes,1997,18,Male,No,No,0
1474,Yes,1998,19,Male,Yes,Yes,1
1475,Yes,2000,19,Male,Yes,Yes,3
1476,Yes,2000,19,Male,No,Yes,0
1477,Yes,2001,20,Male,Yes,Yes,3
1478,Yes,2000,25,Male,Yes,No,1
1479,Yes,2000,34,Male,Yes,Yes,4
1480,No,1999,28,Male,Yes,Yes,2
1481,Yes,2000,22,Male,Yes,Yes,2
1482,Yes,2000,25,Male,Yes,Yes,2
1483,Yes,2001,34,Male,No,Yes,3
1484,Yes,2001,20,Male,Yes,Yes,4
1485,Yes,1998,23,Male,Yes,Yes,1
1486,Yes,2000,17,Male,No,Yes,0
1487,No,2001,19,Male,Yes,Yes,3
1488,Yes,1998,21,Male,Yes,No,0
1489,No,2001,17,Male,Yes,Yes,3
1490,No,1999,48,Male,No,No,1
1491,No,1999,48,Male,No,No,1
1492,Yes,2001,33,Male,Yes,Yes,1
1493,Yes,1999,16,Male,No,Yes,4
1494,No,1998,16,Male,No,Yes,1
1495,Yes,1998,23,Male,Yes,Yes,0
1496,Yes,1999,17,Male,Yes,Yes,2
1497,Yes,2000,21,Male,Yes,Yes,0
1498,Yes,2001,26,Male,Yes,Yes,1
1499,Yes,2001,24,Male,Yes,Yes,0
1500,Yes,1997,26,Male,Yes,Yes,2
1501,Yes,2001,20,Male,Yes,Yes,0
1502,Yes,2000,35,Male,Yes,Yes,5
1503,No,2000,22,Male,Yes,Yes,3
1504,Yes,1997,37,Male,Yes,No,4
1505,Yes,2000,19,Male,Yes,No,0
1506,Yes,1999,22,Male,Yes,Yes,0
1507,Yes,1999,30,Female,Yes,Yes,1
1508,Yes,1998,20,Male,Yes,Yes,0
1509,Yes,2000,18,Male,Yes,Yes,5
1510,Yes,1999,18,Male,Yes,Yes,3
1511,Yes,2000,18,Male,Yes,Yes,1
1512,Yes,1999,22,Male,No,Yes,3
1513,Yes,1999,25,Male,Yes,Yes,4
1514,Yes,2001,21,Male,Yes,Yes,0
1515,Yes,2000,15,Male,No,Yes,0
1516,Yes,2001,17,Female,Yes,Yes,0
1517,Yes,2000,29,Female,No,Yes,0
1518,Yes,1999,15,Male,Yes,Yes,5
1519,Yes,2000,22,Male,Yes,Yes,1
1520,No,2000,18,Male,No,No,2
1521,No,2002,23,Male,Yes,No,4
1522,Yes,2000,23,Male,Yes,Yes,2
1523,Yes,1998,43,Male,Yes,Yes,2
1524,No,1998,16,Male,Yes,Yes,4
1525,No,2001,24,Male,No,No,3
1526,Yes,1999,14,Male,Yes,Yes,4
1527,No,2000,15,Male,Yes,Yes,5
1528,Yes,1999,13,Male,Yes,Yes,0
1529,Yes,1998,18,Male,No,No,3
1530,Yes,2000,14,Male,Yes,Yes,0
1531,No,1999,13,Male,No,Yes,5
1532,Yes,1999,19,Female,Yes,Yes,1
1533,Yes,2001,30,Female,Yes,Yes,0
1534,Yes,2002,19,Male,No,No,1
1535,Yes,1999,22,Male,Yes,Yes,2
1536,Yes,1999,24,Male,No,Yes,3
1537,No,1999,39,Male,Yes,Yes,4
1538,Yes,1997,18,Male,Yes,No,4
1539,Yes,1998,28,Male,Yes,Yes,2
1540,Yes,2000,30,Male,Yes,Yes,4
1541,Yes,2001,37,Male,Yes,No,1
1542,Yes,2001,18,Male,No,Yes,2
1543,No,2000,34,Male,Yes,Yes,5
1544,Yes,1999,22,Male,No,Yes,5
1545,No,2001,18,Male,Yes,Yes,3
1546,Yes,2000,17,Male,Yes,Yes,0
1547,Yes,2001,26,Male,Yes,Yes,0
1548,Yes,2000,16,Female,Yes,Yes,3
1549,Yes,2001,13,Male,Yes,Yes,1
1550,Yes,2001,17,Female,Yes,Yes,1
1551,No,1999,18,Male,Yes,Yes,1
1552,Yes,2000,17,Male,Yes,Yes,3
1553,Yes,2000,17,Male,Yes,Yes,1
1554,Yes,2001,16,Male,Yes,Yes,1
1555,Yes,1998,22,Male,No,Yes,0
1556,Yes,2001,20,Male,Yes,No,0
1557,Yes,2000,33,Male,Yes,Yes,3
1558,Yes,2000,17,Male,Yes,Yes,2
1559,Yes,1997,15,Male,Yes,No,3
1560,Yes,2001,26,Male,No,Yes,0
1561,Yes,2001,19,Male,Yes,Yes,2
1562,Yes,2000,27,Male,Yes,Yes,3
1563,Yes,2001,33,Male,No,Yes,3
1564,No,2001,18,Male,No,Yes,2
1565,Yes,2001,24,Male,No,Yes,1
1566,Yes,1999,41,Male,Yes,No,2
1567,Yes,2001,14,Male,Yes,Yes,0
1568,Yes,2002,21,Male,Yes,Yes,0
1569,Yes,1998,21,Male,No,Yes,4
1570,No,2001,31,Male,Yes,Yes,4
1571,Yes,2001,27,Male,Yes,Yes,3
1572,Yes,2001,21,Male,Yes,Yes,0
1573,Yes,2000,21,Male,Yes,Yes,1
1574,Yes,1998,17,Male,Yes,Yes,3
1575,Yes,2002,26,Male,Yes,Yes,3
1576,Yes,1997,13,Male,Yes,No,2
1577,No,1999,26,Male,Yes,Yes,3
1578,Yes,2001,18,Male,Yes,Yes,1
1579,Yes,2000,20,Male,Yes,Yes,1
1580,Yes,2002,24,Male,No,Yes,3
1581,Yes,1999,29,Male,Yes,Yes,0
1582,Yes,2000,16,Female,Yes,Yes,0
1583,Yes,2000,15,Male,Yes,Yes,1
1584,Yes,2001,27,Male,No,Yes,4
1585,Yes,2000,40,Male,No,Yes,3
1586,Yes,1999,21,Female,Yes,Yes,1
1587,No,1997,21,Male,No,No,2
1588,Yes,1998,15,Male,Yes,Yes,0
1589,No,1998,25,Male,No,Yes,1
1590,No,2002,19,Male,No,Yes,5
1591,Yes,1998,19,Male,Yes,Yes,0
1592,Yes,2001,19,Male,Yes,Yes,2
1593,Yes,1997,28,Male,Yes,Yes,0
1594,Yes,1999,18,Male,Yes,Yes,0
1595,Yes,2000,23,Male,Yes,Yes,3
1596,Yes,2000,16,Male,Yes,Yes,0
1597,No,2000,16,Male,No,Yes,2
1598,Yes,2000,16,Male,Yes,Yes,2
1599,Yes,1999,20,Male,Yes,Yes,0
1600,Yes,2000,22,Male,Yes,Yes,0
1601,Yes,1999,21,Male,Yes,Yes,1
1602,Yes,2001,32,Male,No,Yes,2
1603,Yes,1997,15,Male,Yes,No,1
1604,Yes,1999,17,Male,Yes,Yes,4
1605,Yes,2001,30,Male,No,Yes,2
1606,Yes,1998,49,Male,Yes,Yes,0
1607,Yes,2000,23,Male,Yes,Yes,0
1608,No,2000,38,Male,Yes,Yes,3
1609,No,2001,13,Male,Yes,Yes,2
1610,Yes,2000,40,Male,Yes,No,2
1611,Yes,2000,21,Male,Yes,Yes,1
1612,Yes,2002,14,Female,Yes,Yes,3
1613,Yes,2001,21,Female,Yes,Yes,0
1614,Yes,1998,21,Male,Yes,No,0
1615,Yes,1998,33,Male,Yes,Yes,1
1616,Yes,1997,16,Male,Yes,No,0
1617,Yes,1997,19,Male,Yes,No,4
1618,Yes,1997,29,Male,Yes,Yes,3
1619,No,1998,20,Male,No,Yes,1
1620,Yes,1999,24,Male,Yes,Yes,1
1621,Yes,1998,19,Male,Yes,Yes,3
1622,No,1999,32,Male,Yes,Yes,4
1623,Yes,2000,20,Male,Yes,Yes,4
1624,Yes,2002,19,Male,No,Yes,2
1625,Yes,1999,34,Male,Yes,Yes,2
1626,Yes,2000,25,Male,No,Yes,1
1627,Yes,2000,18,Male,Yes,Yes,0
1628,No,1998,18,Male,Yes,Yes,4
1629,Yes,1998,38,Male,Yes,Yes,3
1630,Yes,1999,30,Male,Yes,No,4
1631,Yes,2000,17,Male,Yes,Yes,0
1632,Yes,2001,44,Female,No,Yes,1
1633,Yes,1999,35,Male,Yes,No,0
1634,Yes,1998,49,Male,No,Yes,3
1635,Yes,2001,19,Male,No,Yes,3
1636,Yes,1997,20,Male,Yes,No,3
1637,Yes,1997,28,Male,Yes,No,4
1638,Yes,2001,20,Male,Yes,Yes,1
1639,Yes,2002,24,Male,Yes,Yes,4
1640,Yes,2000,18,Male,Yes,Yes,0
1641,Yes,2000,29,Male,Yes,Yes,1
1642,No,1999,23,Male,No,Yes,3
1643,No,2000,16,Male,Yes,Yes,0
1644,Yes,2002,20,Male,No,Yes,3
1645,No,1997,21,Male,No,No,2
1646,Yes,2001,31,Male,Yes,Yes,2
1647,No,2000,24,Male,No,Yes,4
1648,Yes,2000,20,Male,Yes,Yes,0
1649,No,2001,16,Male,No,Yes,1
1650,No,2000,18,Male,No,Yes,5
1651,Yes,2000,17,Male,Yes,Yes,0
1652,No,1998,20,Male,Yes,Yes,3
1653,Yes,1997,17,Male,Yes,No,2
1654,Yes,2000,19,Female,No,Yes,4
1655,No,2000,21,Male,Yes,No,4
1656,Yes,2001,22,Male,Yes,Yes,0
1657,Yes,1999,26,Male,No,Yes,4
1658,No,2000,19,Male,Yes,Yes,4
1659,Yes,1998,20,Male,Yes,No,5
1660,Yes,1998,18,Male,Yes,Yes,0
1661,Yes,2001,39,Male,No,No,3
1662,Yes,1998,29,Male,Yes,Yes,2
1663,Yes,1999,19,Male,No,Yes,1
1664,Yes,1999,34,Male,No,Yes,2
1665,Yes,1999,28,Male,Yes,Yes,4
1666,No,2001,30,Male,Yes,No,0
1667,Yes,2001,20,Male,Yes,Yes,0
1668,Yes,1999,36,Male,Yes,Yes,1
1669,Yes,2001,19,Male,Yes,Yes,2
1670,Yes,2000,17,Male,Yes,Yes,2
1671,Yes,1999,36,Male,Yes,Yes,1
1672,Yes,1998,18,Male,No,Yes,0
1673,Yes,2001,40,Male,Yes,No,4
1674,Yes,2000,19,Male,No,Yes,4
1675,Yes,2000,21,Male,Yes,Yes,0
1676,Yes,1998,18,Male,Yes,Yes,0
1677,No,1998,19,Male,Yes,Yes,3
1678,Yes,1999,30,Male,Yes,Yes,3
1679,No,2000,29,Male,No,No,5
1680,Yes,2002,21,Male,Yes,Yes,0
1681,Yes,1999,20,Male,Yes,Yes,0
1682,Yes,1999,18,Male,Yes,Yes,4
1683,Yes,2001,14,Male,Yes,Yes,0
1684,Yes,2001,23,Male,Yes,Yes,0
1685,Yes,1997,27,Male,Yes,Yes,0
1686,Yes,2002,29,Male,No,Yes,3
1687,Yes,2000,17,Male,Yes,Yes,3
1688,Yes,2000,15,Male,Yes,Yes,0
1689,Yes,2001,21,Male,No,Yes,4
1690,Yes,1998,23,Male,Yes,Yes,0
1691,Yes,1997,44,Male,No,Yes,3
1692,No,1997,27,Male,No,Yes,3
1693,Yes,2000,20,Male,Yes,Yes,0
1694,Yes,2000,36,Male,Yes,Yes,3
1695,No,2001,37,Male,Yes,No,3
1696,No,1998,19,Female,Yes,Yes,0
1697,Yes,2001,28,Male,Yes,Yes,0
1698,Yes,2000,38,Male,Yes,Yes,1
1699,No,1999,15,Male,Yes,No,0
1700,No,1999,15,Male,Yes,No,0
1701,No,1999,18,Male,Yes,No,3
1702,Yes,2001,19,Male,Yes,Yes,1
1703,Yes,1999,20,Male,Yes,Yes,1
1704,Yes,1998,14,Male,Yes,Yes,0
1705,No,2000,15,Male,Yes,Yes,3
1706,Yes,1998,45,Female,No,Yes,0
1707,Yes,1999,17,Female,Yes,Yes,0
1708,Yes,2000,24,Male,Yes,No,4
1709,Yes,2001,27,Female,No,Yes,2
1710,Yes,1999,31,Male,Yes,Yes,0
1711,No,1997,21,Male,No,No,3
1712,Yes,2002,31,Male,Yes,Yes,2
1713,Yes,1999,19,Male,Yes,Yes,0
1714,Yes,1999,25,Male,Yes,Yes,0
1715,No,2000,33,Male,Yes,Yes,3
1716,Yes,1999,31,Male,Yes,Yes,4
1717,Yes,1997,17,Male,Yes,Yes,2
1718,Yes,2000,17,Male,Yes,Yes,1
1719,Yes,2000,16,Male,Yes,Yes,0
1720,Yes,2000,26,Male,Yes,Yes,1
1721,Yes,2000,17,Male,Yes,Yes,1
1722,Yes,2001,22,Male,Yes,Yes,2
1723,No,1999,15,Male,Yes,Yes,4
1724,No,1997,27,Male,No,No,2
1725,Yes,1999,20,Male,Yes,Yes,0
1726,Yes,1997,20,Male,Yes,No,1
1727,Yes,2000,21,Male,Yes,Yes,4
1728,No,2001,34,Male,Yes,No,3
1729,Yes,2001,22,Male,Yes,No,0
1730,No,1999,16,Male,No,Yes,3
1731,Yes,2000,18,Male,Yes,Yes,0
1732,Yes,2000,18,Male,Yes,Yes,2
1733,Yes,2001,18,Male,Yes,No,4
1734,Yes,1998,22,Male,Yes,Yes,1
1735,No,1999,17,Female,No,Yes,2
1736,Yes,2001,32,Male,Yes,No,3
1737,Yes,2001,26,Male,Yes,Yes,0
1738,No,2002,24,Male,Yes,Yes,3
1739,No,2002,26,Male,No,Yes,1
1740,Yes,1998,26,Male,Yes,Yes,1
1741,Yes,2002,14,Male,Yes,Yes,4
1742,No,2000,33,Male,No,Yes,5
1743,Yes,2001,18,Male,Yes,Yes,5
1744,No,2001,45,Male,Yes,Yes,3
1745,Yes,1999,33,Male,Yes,Yes,2
1746,No,1998,41,Male,No,No,4
1747,No,1998,24,Male,Yes,No,4
1748,Yes,2001,37,Male,Yes,Yes,2
1749,Yes,2000,18,Male,No,Yes,5
1750,Yes,1997,32,Male,Yes,No,0
1751,Yes,2000,22,Male,Yes,Yes,3
1752,Yes,2000,30,Female,Yes,No,1
1753,Yes,1999,17,Male,Yes,Yes,0
1754,Yes,2000,17,Male,Yes,Yes,3
1755,Yes,2001,18,Male,No,Yes,1
1756,Yes,2000,23,Male,No,Yes,5
1757,Yes,1999,19,Male,Yes,Yes,4
1758,Yes,2000,20,Male,Yes,Yes,2
1759,Yes,2001,25,Male,Yes,Yes,0
1760,Yes,2000,19,Male,Yes,Yes,2
1761,Yes,1998,21,Male,Yes,Yes,2
1762,Yes,2001,18,Male,Yes,Yes,0
1763,No,1998,18,Male,Yes,Yes,2
1764,Yes,1998,23,Male,Yes,Yes,2
1765,Yes,2000,17,Male,Yes,Yes,0
1766,Yes,1999,18,Male,Yes,Yes,1
1767,Yes,2001,23,Male,No,Yes,2
1768,No,2002,18,Male,Yes,Yes,4
1769,Yes,2000,19,Male,No,Yes,2
1770,No,1999,17,Female,No,Yes,2
1771,Yes,1999,22,Male,Yes,Yes,0
1772,Yes,1998,26,Male,Yes,No,2
1773,Yes,2001,17,Male,Yes,Yes,0
1774,Yes,1999,21,Male,Yes,Yes,0
1775,Yes,2000,16,Male,Yes,Yes,0
1776,No,2000,18,Male,Yes,Yes,0
1777,Yes,2000,20,Male,No,Yes,1
1778,Yes,1998,16,Male,No,Yes,1
1779,Yes,2001,18,Male,No,Yes,3
1780,Yes,1997,22,Male,No,Yes,2
1781,Yes,1999,17,Male,Yes,Yes,1
1782,Yes,2001,20,Male,Yes,Yes,2
1783,Yes,1997,15,Male,Yes,No,0
1784,Yes,2001,30,Male,Yes,Yes,0
1785,No,2001,21,Male,Yes,Yes,2
1786,Yes,2001,29,Female,No,No,0
1787,Yes,2001,41,Male,No,No,3
1788,Yes,1999,21,Male,Yes,Yes,4
1789,Yes,1998,36,Female,Yes,Yes,1
1790,Yes,2000,16,Male,Yes,Yes,4
1791,Yes,1999,19,Male,Yes,Yes,4
1792,Yes,1999,25,Male,Yes,Yes,1
1793,Yes,1997,16,Male,No,Yes,0
