"abityé"	"abitje"	"habituer"
"mannigansé"	"mɑ̃nigɑ̃se"	"manigancer"
"mannyé"	"mɑ̃nje"	"manier"
"mansyonné"	"mɑ̃sjɔ̃ne"	"mentionner"
"manti"	"mɑ̃ti"	"mentir"
"maré"	"maʀe"	"amarrer"
"margoté"	"maʀgote"	"marcotter"
"mariné"	"maʀine"	"mariner"
"mariné 2"	"maʀine"	"mariner"
"marmonné"	"maʀmɑ̃ne"	"marmonner"
"martirizé"	"maʀtirize"	"martyr > martyriser"
"masakré"	"masakre"	"massacrer"
"masé"	"mase"	"masser"
"masé 2"	"mase"	"masser"
"maséré"	"masere"	"macérer"
"maské cf masyé"	"masje"	"masquer"
"maskoté"	"maskote"	"xxx"
"mastiké"	"mastike"	"mastiquer"
"masyé"	"masje"	"masque > masquer"
"matché"	"matʃe"	"match >  matcher"
"maté"	"mate"	"mater"
"maté 2"	"mate"	"mater"
"mawon 2"	"mawɔ̃"	"marronner"
"mawonné"	"mawɔ̃ne"	"marronner"
"mayé"	"maje"	"marier"
"méblé"	"meble"	"meubler"
"méfyé"	"mefje"	"méfier"
"mégri"	"megʀi"	"maigre > maigrir"
"mélanjé"	"melɑ̃ʒe"	"mélange > mélanger"
"mèlba"	"mεlba"	"mettre-bas"
"mélé"	"mele"	"mêler"
"mélé 2"	"mele"	"mêler"
"mélé 3"	"mele"	"mêler"
"mélé 4"	"mele"	"mêler"
"ménajé"	"menaʒe"	"ménager"
"mènasé"	"mεnase"	"menace"
"menné"	"mɛ̃ne"	"mener"
"menné alé"	"mɛ̃neale"	"mener-aller"
"mensi"	"mɛ̃si"	"mince > mincir"
"méprizé"	"mepʀize"	"mépriser"
"mérité"	"meʀite"	"mérite > mériter"
"mèt"	"mεt"	"mettre"
"mèt atè"	"mεtatε"	"mettre"
"mété"	"mete"	"mettre"
"mètri"	"mεtʀi"	"meurtrir"
"mèwè"	"mεwε"	"xxx"
"miganné"	"migɑ̃ne"	"xxx"
"mijoté"	"miʒote"	"mijoter"
"miltipliyé"	"miltiplije"	"multiplier"
"miré"	"miʀe"	"mirer"
"mité"	"mite"	"muter"
"mizé"	"mize"	"miser"
"mizé 2"	"mize"	"miser"
"miziré"	"miziʀe"	"mesurer"
"mò"	"mɔ"	"mourir"
"mobilizé"	"mobilize"	"mobiliser"
"mòdé"	"mɔde"	"mordre"
"modéré"	"modeʀe"	"modérer"
"modi"	"modi"	"maudire"
"modifyé"	"modifje"	"modifier"
"moké"	"moke"	"moquer"
"moli"	"moli"	"mollir(donner du mou au cordage)"
"monopolizé"	"monopolize"	"monopoliser"
"monté"	"mɔ̃te"	"monter"
"monté konplo"	"mɔ̃tekɔ̃plo"	"monter-complot"
"montré"	"mɔ̃tʀe"	"montrer"
"montré 2"	"mɔ̃tʀe"	"montrer"
"mouché"	"muʃe"	"moucher"
"mouchté"	"muʃte"	"moucheter"
"moulé"	"mule"	"moudre"
"mousé"	"muse"	"mousser"
"mouvmanté"	"muvmɑ̃te"	"mouvement > mouvementer"
"mouyé"	"muje"	"mouiller"
"myolé"	"mjole"	"miauler"
"najé"	"naʒe"	"nager"
"nargé"	"naʀge"	"narguer"
"naté"	"nate"	"natter"
"néglijé"	"negliʒe"	"négliger"
"négosyé"	"negosjɑ̃"	"négocier"
"nétwayé"	"netwaje"	"nettoyer"
"néyé"	"neje"	"noyer"
"ni"	"ni"	"xxx"
"niché"	"niʃe"	"nicher"
"niméwoté"	"nimewote"	"numéro > numéroter"
"nonmé"	"nɔ̃me"	"nommer"
"nonmé 2"	"nɔ̃me"	"nommer"
"nonmé 3"	"nɔ̃me"	"nommer"
"nosé"	"nose"	"noce > nocer"
"noté"	"note"	"noter"
"nouri"	"nuʀi"	"nourrir"
"nwélé"	"nwεle"	"noël"
"nwèsi"	"nwεsi"	"noircir"
"obéyi"	"obeji"	"obéir"
"oblijé"	"obliʒe"	"obliger"
"òbsèrvé"	"ɔbsεʀve"	"observer"
"ofè"	"ofε"	"offrir"
"ofiramizi"	"ofiʀamizi"	"au-fur-et-à-mesure"
"ògmanté"	"ɔgmɑ̃te"	"augmenter"
"okazionné"	"okazjɔ̃ne"	"occasion > occasionner"
"okipé"	"okipe"	"occuper"
"opéré"	"opeʀe"	"opérer"
"opozé"	"opoze"	"opposer"
"òrganizé"	"ɔʀganize"	"organiser"
"oriyanté"	"oʀijɑ̃te"	"orienter"
"òrné"	"ɔʀne"	"orner"
"òspitalizé"	"ɔspitalize"	"hospitaliser"
"otorizé"	"otoʀize"	"autoriser"
"oubliyé"	"ublije"	"oublier"
"ouvè"	"uvε"	"ouvrir"
"ozé"	"oze"	"oser"
"padonné"	"padɔ̃ne"	"pardonner"
"palanké"	"palɑ̃ke"	"xxx"
"palé"	"pale"	"parler"
"palé gra"	"palegʀa"	"parler-gras"
"palpé"	"palpe"	"palper"
"panché"	"pɑ̃ʃe"	"pencher"
"panmé"	"pɑ̃me"	"pâmer"
"pann"	"pɑ̃n"	"pendre"
"pann 2"	"pɑ̃n"	"pendre"
"pansé"	"pɑ̃se"	"panser"
"pansé 2"	"pɑ̃se"	"penser"
"paradé"	"paʀade"	"parade > parader"
"paralizé"	"paʀalize"	"paralyser"
"paré 2"	"paʀe"	"parer"
"paré 3"	"paʀe"	"parer"
"parèt"	"paʀεt"	"paraître"
"parèt 2"	"paʀεt"	"paraître"
"parfimé"	"paʀfime"	"parfumer > parfum"
"partajé"	"paʀtaʒe"	"partager"
"pasé"	"pase"	"passer"
"pasé 2"	"pase"	"passer"
"pasé fyè"	"pasefjε"	"passer-fier"
"pasé-vwè"	"pasevwε"	"passer-voir"
"pasyanté"	"pasjɑ̃te"	"patienter"
"pasyonné"	"pasjɔ̃ne"	"passion > passionner"
"pati"	"pati"	"partir"
"patojé"	"patoʒe"	"patauger"
"patronné"	"patʀɔ̃ne"	"patron > patronner"
"pavwazé"	"pavwaze"	"pavoiser"
"payé"	"paje"	"pari > parier"
"payé 2"	"paje"	"xxx"
"pé"	"pe"	"pouvoir"
"pè"	"pɛ"	"peur"
"péché 2"	"peʃe"	"pêcher > pêche"
"pèd"	"pɛd"	"perdre"
"pédalé"	"pedale"	"pédale > pédaler"
"pèd-fòs"	"pɛdfɔs"	"perdre-force"
"pèd-lakat"	"pɛdlakat"	"perdre-carte"
"pengné"	"pɛ̃ɲe"	"peigner"
"pensé"	"pɛ̃se"	"pincer > pince !!!"
"pentiré"	"pɛ̃tiʀe"	"peindre"
"péplé"	"peple"	"peuple > peupler"
"pèrmèt"	"pεʀmεt"	"permettre"
"pèrsiyadé"	"pεɔ̃sijade"	"persuader"
"pèsé"	"pεse"	"percer"
"pèsé 2"	"pεse"	"percer"
"pèsé 3"	"pεse"	"percer"
"pèsivwè"	"pεsivwε"	"apercevoir"
"pèsté"	"pεste"	"peste > pester"
"pétayé"	"petaje"	"xxx"
"pété"	"pete"	"pet > péter"
"pété 2"	"pete"	"péter"
"pété 3"	"pete"	"péter"
"pétiyé"	"petije"	"pet > pétiller"
"pétri"	"petʀi"	"pétrir"
"péyé"	"peje"	"payer"
"pézé"	"peze"	"peser"
"pézé 2"	"peze"	"peser"
"piafé"	"pjafe"	"piaffer"
"pichonné"	"piʃɔ̃ne"	"pincher"
"pijé"	"piʒe"	"xxx"
"pijé 2"	"piʒe"	"xxx"
"pijé 3"	"piʒe"	"xxx"
"piké"	"pike"	"piquer"
"piké 3"	"pike"	"piquer"
"pikwaté"	"pikwate"	"xxx"
"pilé"	"pile"	"piler"
"pilé 2"	"pile"	"piler"
"pilé 3"	"pile"	"xxx"
"pililé"	"pilile"	"pulluler"
"pilonné cf pilé"	"pilɔ̃ne"	"pilon > pilonner"
"pimanté"	"pimɑ̃te"	"piment > pimenter"
"pini"	"pini"	"punir"
"pipé"	"pipe"	"xxx"
"pipé 2"	"pipe"	"piper"
"pipigné"	"pipiɲe"	"xxx"
"pisé"	"pise"	"pisser"
"pisimé var plisimé"	"pisimé"	"xxx"
"pistonné"	"pistɔ̃ne"	"piston > pistonner"
"pit"	"pit"	"xxx"
"pité"	"pite"	"pit (ang)    pit= fosse"
"piyé"	"pije"	"piller"
"plaké"	"plake"	"plaquer"
"planni"	"plɑ̃ni"	"xxx"
"planté"	"plɑ̃te"	"planter"
"plasé"	"plase"	"place > placer"
"plasé 2"	"plase"	"place > placer"
"plati"	"plati"	"plat > aplatir"
"platiné"	"platine"	"patiner"
"plè"	"plɛ"	"plaire"
"plédé"	"plede"	"plaider"
"plédé kòz"	"pledekɔz"	"plaider-cause"
"plenn"	"plɛ̃n"	"plaindre"
"pléré"	"pleʀe"	"pleurer"
"pléré gwodlo"	"pleʀegwodlo"	"pleurer-gros-eau"
"plézanté"	"plezɑ̃te"	"plaisanter"
"pliché"	"pliʃe"	"éplucher"
"pliché 2"	"pliʃe"	"xxx"
"pliché 3"	"pliʃe"	"xxx"
"plimé"	"plime"	"plumer"
"plisé"	"plise"	"plisser"
"plisimé cf pisimé"	"plisime"	"xxx"
"pliyé"	"plije"	"plier"
"ploké"	"ploke"	"xxx"
"plonjé"	"plɔ̃ʒe"	"plonger"
"plotonné"	"plotɔ̃ne"	"peloton > pelotonner"
"poli"	"poli"	"polir"
"pongné"	"pɔ̃ɲe"	"xxx"
"ponn"	"pɔ̃n"	"pondre"
"ponpé"	"pɔ̃pe"	"pomper"
"ponponné"	"pɔ̃pɔ̃ne"	"pomponner"
"ponsé"	"pɔ̃se"	"poncer"
"pòsté"	"pɔste"	"poste > poster"
"pòsté 2"	"pɔste"	"poster"
"pòté"	"pɔte"	"porter"
"pòté 2"	"pɔte"	"porter"
"pòté 3"	"pɔte"	"porter"
"pòté koko"	"pɔtekoko"	"porter"
"pòté mannèv"	"pɔtemɑ̃nεv"	"porter"
"poté on ganm"	"pɔteɔ̃gɑ̃m"	"porter"
"pòté pèt"	"pɔtepεt"	"porter-perte"
"pòtré"	"pɔtʀe"	"portrait"
"poudré"	"pudʀe"	"poudrer"
"pougalé"	"pugale"	"xxx"
"poupé"	"pupe"	"xxx"
"pouri 2"	"puʀi"	"pourrir"
"poursuiv var pousuiv"	"puʀsɥiv"	"poursuivre"
"pousé"	"puse"	"pousser"
"pousé 2"	"puse"	"pousser"
"pousuiv cf poursuiv"	"pusɥiv"	"poursuivre"
"pozé"	"poze"	"pause > pauser"
"pozé 2"	"poze"	"reposer"
"pran"	"pʀɑ̃"	"prendre"
"pran 2"	"pʀɑ̃"	"prendre"
"pran balan"	"pʀɑ̃balɑ̃"	"prendre"
"pran dlo"	"pʀɑ̃dlo"	"prendre-eau"
"pran douvan"	"pʀɑ̃duvɑ̃"	"prendre-devant"
"pran fè"	"pʀɑ̃fε"	"prendre-fer"
"pran fòs"	"pʀɑ̃fɔ̃s"	"prendre-force"
"pran gou"	"pʀɑ̃gu"	"prendre-goût"
"pran kondisyon"	"pʀɑ̃kɔ̃disjɔ̃"	"prendre-condition"
"pran kouri"	"pʀɑ̃kuʀi"	"prendre-courir"
"pran penn"	"pʀɑ̃pɛ̃n"	"prendre-peine"
"pran plon"	"pʀɑ̃plɔ̃"	"prendre-plomb"
"pran siren"	"pʀɑ̃siʀɛ̃"	"prendre-serein"
"préché"	"pʀeʃe"	"précher"
"prédi"	"pʀedi"	"prédire"
"préféré"	"pʀefeʀe"	"préférer"
"prémédité"	"premedite"	"préméditer"
"préparé"	"pʀepaʀe"	"préparer"
"présé"	"pʀese"	"presser"
"présé 2"	"pʀese"	"presser"
"prétann"	"pʀetɑ̃n"	"prétendre"
"prété"	"pʀete"	"prêter"
"prévwa"	"pʀevwa"	"prévoir"
"prévwa 2"	"pʀevwa"	"prévoir"
"prézanté"	"pʀezɑ̃te"	"présenter"
"prézidé"	"pʀezide"	"présider"
"primé"	"pʀime"	"prime >  primer"
"privé"	"pʀive"	"priver"
"priyé"	"pʀije"	"prier"
"priyédyé"	"pʀijedje"	"prier-Dieu"
"prizonné"	"pʀizɔ̃ne"	"prison > emprisonner"
"proché cf aproché"	"pʀoʃe"	"approcher"
"profité"	"profite"	"profiter"
"profité 2"	"pʀofite"	"profiter"
"progrésé"	"pʀogʀese"	"progrès > progresser"
"prokiré"	"pʀokiʀe"	"procurer"
"prokiré 2"	"pʀokiʀe"	"procurer"
"prolonjé"	"pʀolɔ̃ʒe"	"prolonger"
"promèt"	"pʀomɛt"	"promettre"
"pronmné"	"pʀɔ̃mne"	"promener"
"prononsé"	"pʀonɔ̃se"	"prononcer"
"propozé"	"pʀopoze"	"proposer"
"pròspéré"	"pʀɔspeʀe"	"prospérer"
"protéjé"	"pʀoteʒe"	"protéger"
"protèsté"	"pʀotεste"	"protester"
"prouvé"	"pʀuve"	"prouver"
"pwagnadé"	"pwaɲade"	"poignard > poignarder"
"pwayé"	"plojé"	"ployer"
"pwazonné cf anpwa…."	"pwazɔ̃ne"	"poison > empoisonner"
"pwenté"	"pwɛ̃te"	"point > pointer"
"pwòpté"	"pwɔpte"	"propre"
"pyèsté"	"pjεste"	"rapiécer"
"pyété"	"pjete"	"xxx"
"pyoché"	"pjoʃe"	"pioche > piocher"
"rabaché"	"ʀabaʃe"	"rabâcher"
"raboté"	"ʀabote"	"rabot > raboter"
"rabouté"	"ʀabute"	"rabouter"
"raché"	"ʀaʃe"	"arracher"
"rachté"	"ʀaʃte"	"racheter"
"radoté"	"ʀadote"	"radoter"
"raflé"	"ʀafle"	"rafler"
"raflé 2"	"ʀafle"	"rafler"
"rafréchi"	"ʀafʀeʃi"	"rafraîchir"
"rajéni"	"ʀaʒeni"	"jeune > rajeunir"
"rajouté"	"ʀaʒute"	"ajouter > rajouter"
"rakasiyé"	"ʀakasije"	"xxx"
"rakomodé"	"ʀakomode"	"raccommoder"
"rakonpagné"	"ʀakɔ̃paɲe"	"accompagner> raccompagner"
"rakonté"	"ʀakɔ̃te"	"raconter"
"rakouri"	"ʀakuʀi"	"xxx"
"rakousi"	"ʀakusi"	"raccourcir"
"ralanti"	"ʀalɑ̃ti"	"ralentir"
"ralé"	"ʀale"	"haler"
"ralonjé"	"ʀalɔ̃ʒe"	"rallonger"
"ramoli"	"ʀamoli"	"ramollir"
"ranboulé"	"ʀɑ̃bule"	"xxx"
"ranbousé"	"ʀɑ̃buse"	"rembourser"
"ranjé"	"ʀɑ̃ʒe"	"ranger"
"ranjé 2"	"ʀɑ̃ʒe"	"arranger"
"rankontré var kontré"	"ʀɑ̃kɔ̃tʀe"	"rencontrer"
"ranmasé"	"ʀɑ̃mase"	"ramasser"
"ranmasé 2"	"ʀɑ̃mase"	"ramasser"
"ranmé"	"ʀɑ̃me"	"ramer"
"ranmé 2"	"ʀɑ̃me"	"rame"
"rann"	"ʀɑ̃n"	"rendre"
"rann 2"	"ʀɑ̃n"	"rendre"
"ranpé"	"ʀɑ̃pe"	"ramper"
"ranplasé"	"ʀɑ̃plase"	"remplacer"
"ranpli"	"ʀɑ̃pli"	"remplir"
"ranségné"	"ʀɑ̃seɲe"	"renseigner"
"ransi"	"ʀɑ̃si"	"rancir"
"rantré"	"ʀɑ̃tʀe"	"rentrer"
"rapé"	"ʀape"	"raper"
"raplanni"	"ʀaplɑ̃ni"	"aplanir"
"rapòté"	"ʀapɔte"	"rapporter"
"rapòté 2"	"ʀapɔte"	"rapporter"
"raproché"	"ʀapwoʃe"	"rapprocher"
"rapyanné"	"ʀapjɑ̃ne"	"xxx"
"rapyèsté"	"ʀapjɛste"	"rapièceter"
"rasanblé"	"ʀasɑ̃ble"	"rassembler"
"rasazié"	"ʀasazje"	"rassasier"
"raté"	"ʀate"	"rater"
"ratrapé"	"ʀatʀape"	"rattraper"
"ravajé"	"ʀavaʒe"	"ravage > ravager"
"ravitayé"	"ʀavitaje"	"ravitailler"
"ray"	"ʀaj"	"haïr"
"razé"	"ʀaze"	"raser"
"rèbondi"	"ʀεbɔdi"	"rebondir"
"réchapé"	"ʀeʃape"	"réchapper"
"réchofé"	"ʀeʃofe"	"réchauffer"
"rédé"	"ʀede"	"aider"
"rédi"	"ʀedi"	"raide > raidir"
"rèdi"	"ʀεdi"	"dire > redire"
"rédi 2"	"ʀedi"	"raide > raidir"
"rédi 3"	"ʀedi"	"raide > raidir"
"rédi 4"	"ʀedi"	"raide > raidir"
"rèdoublé var doublé"	"ʀeduble"	"doubler > redoubler"
"rèfizé"	"ʀεfize"	"refuser"
"réfléchi"	"ʀefleʃi"	"réfléchir"
"rèfwadi"	"ʀεfwadi"	"froid > refroidir"
"réglé"	"ʀegle"	"règle > régler"
"réglé 2"	"ʀegle"	"règle > régler"
"règrété"	"ʀεgʀete"	"regretter"
"rèkilé"	"ʀɛkile"	"reculer"
"rékizisyonné"	"ʀekizisjɔ̃ne"	"réquisition > réquisitionner"
"réklamé"	"ʀeklame"	"réclamer"
"rékòlté"	"ʀekɔlte"	"réclamer"
"rèkonmansé cf wou…"	"ʀεkɔ̃mɑ̃se"	"commencer > recommencer"
"rèkonnèt"	"ʀεkɔ̃nεt"	"connaître > reconnaître"
"rékonpansé"	"ʀekɔ̃pɑ̃se"	"récompenser"
"rèkopyé"	"ʀεkopje"	"copier > recopier"
"rèlèvé"	"ʀεlεve"	"relever"
"rèlévé konvèsyon"	"levekɔ̃vεsjɔ̃"	"xxx"
"rèmarké"	"ʀεmaʀke"	"marquer > remarquer"
"rèmèt"	"ʀεmεt"	"remettre"
"rènaklé"	"ʀεnakle"	"renâcler"
"rensé"	"ʀɛ̃se"	"rincer"
"rènyé"	"ʀεnje"	"renier"
"réparé"	"ʀepaʀe"	"réparer"
"rèpasé"	"ʀεpase"	"repasser"
"répigné"	"ʀepiɲe"	"répugner"
"répliké"	"ʀeplike"	"répliquer"
"rèpo"	"ʀεpo"	"repos"
"réponn"	"ʀepɔ̃n"	"répondre"
"rèpozé"	"ʀεpoze"	"reposer > repos"
"rèproché"	"ʀεpʀoʃe"	"reprocher"
"rèsasé"	"ʀεsase"	"ressasser"
"résidivé"	"ʀesidive"	"recidiver"
"résisité"	"ʀeziste"	"ressusciter"
"résité"	"ʀesite"	"réciter"
"rèskiyé"	"ʀεskije"	"resquiller"
"rèspèkté"	"ʀεspεkte"	"respecter"
"rèspiré"	"ʀεspiʀe"	"respirer"
"rèswa"	"ʀεswa"	"recevoir"
"rètardé"	"ʀεtaʀde"	"retarder"
"rété"	"ʀete"	"rester"
"rété 2"	"ʀete"	"rester"
"rètouné cf woutouné"	"ʀεtune"	"retourner"
"rétrési"	"ʀetʀesi"	"retrécir"
"rètrousé"	"ʀεtʀuse"	"retrousser"
"rètyenn"	"ʀεtjɛ̃n"	"retenir"
"rètyenn 2"	"ʀεtjɛ̃n"	"retenir"
"rèvann"	"ʀεvãn"	"vendre > revendre"
"révasé"	"ʀevase"	"révasser"
"révé"	"ʀeve"	"rêver"
"révéyonné"	"ʀevejɔ̃ne"	"réveillon > réveillonner"
"rèviv"	"ʀεviv"	"vivre > revivre"
"révizé"	"ʀevize"	"réviser"
"réyaji"	"ʀejaʒi"	"réagir"
"réyé"	"ʀeje"	"rayer"
"réyisi"	"ʀejisi"	"réussir"
"rézèrvé"	"ʀezεʀve"	"réserver"
"rézisté"	"ʀeziste"	"résister"
"rézonné"	"ʀezɔ̃ne"	"résonner"
"rézonné 2"	"ʀezɔ̃ne"	"raisonner"
"rézonné 3"	"ʀezɔ̃ne"	"raisonner"
"rézoud"	"ʀezud"	"résoudre"
"ri"	"ʀi"	"rire"
"rigolé"	"ʀigole"	"rigoler"
"rikanné"	"ʀikɑ̃ne"	"ricaner"
"rimé"	"ʀime"	"remuer"
"riské"	"ʀiske"	"risquer"
"rivé"	"ʀive"	"arriver"
"sa"	"sa"	"savoir"
"sakrifyé"	"sakʀifje"	"sacrifier"
"salé"	"sale"	"saler"
"Sali"	"Sali"	"salir"
"salonné"	"salɔ̃ne"	"salon >salonner"
"salòpté"	"salɔpte"	"saloper"
"sanblé cf rasanblé"	"sɑ̃ble"	"rassembler"
"sanglé"	"sɑ̃gle"	"sangle > sangler"
"sanm"	"sɑ̃m"	"ressembler"
"sanm 2"	"sɑ̃m"	"sembler"
"santi"	"sɑ̃ti"	"sentir"
"sapé"	"sɑpe"	"xxx"
"sav var savé"	"sav"	"savoir"
"savé cf sav"	"save"	"savoir"
"savonné"	"savɔ̃né"	"savon > savonner"
"sé 2"	"se"	"être"
"séché"	"seʃe"	"sécher"
"sèklé"	"sεkle"	"sarcler"
"sélé"	"sele"	"sceller"
"sélébré"	"selebʀe"	"célébrer"
"sendiké"	"sɛ̃dike"	"syndic > syndiquer"
"sengné"	"sɛ̃ɲe"	"saigner"
"sentré"	"sɛ̃tʀe"	"cintrer"
"séparé"	"sepaʀe"	"séparer"
"séparé 2"	"sepaʀe"	"séparer"
"séré"	"seʀe"	"serrer"
"séré 2"	"seʀe"	"serrer (sens picard)"
"séré 3"	"seʀe"	"serrer"
"sèrvitid"	"sεʀvitid"	"servitude"
"sèvi"	"sεvi"	"servir"
"sévré"	"sevʀe"	"sevrer"
"sézi"	"sezi"	"saisir"
"sézi 2"	"sezi"	"saisir"
"sibi"	"sibi"	"subir"
"sifi"	"sifi"	"suffire"
"siflé"	"sifle"	"siffler"
"sifoké"	"sifoke"	"suffoquer"
"sifonné"	"sifɔ̃ne"	"siphon > siphonner"
"signé"	"siɲe"	"signer"
"signifyé"	"siɲifje"	"signifier"
"sikré"	"sikʀe"	"sucrer"
"simanté"	"simɑ̃te"	"ciment > cimenter"
"simé 2"	"sime"	"semer"
"sipé"	"sipe"	"xxx"
"sipliyé"	"siplije"	"supplier"
"sipòté 2"	"sipɔte"	"supporter"
"sipozé"	"sipoze"	"supposer"
"siprimé"	"sipʀime"	"supprimer"
"siré"	"siʀe"	"cirer"
"sirfilé"	"siʀfile"	"surfiler"
"siri"	"siʀi"	"surir"
"sirnonmé"	"siʀnɔ̃me"	"surnom > surnommer"
"sirprann"	"siʀpʀɑ̃n"	"surprendre"
"sirsoté"	"siʀsote"	"sursauter"
"sirvéyé"	"siʀveje"	"surveiller"
"sisit"	"sisit"	"sissite (même sens en picard)"
"sispann"	"sispɑ̃n"	"suspendre"
"sitronné"	"sitʀɔ̃ne"	"citron"
"siwoté"	"siwote"	"sirop > siroter"
"siyé"	"sije"	"scier"
"siyonné"	"sijɔ̃ne"	"sillon > sillonner"
"sizé"	"size"	"xxx"
"sòldé"	"sɔlde"	"solde > solder"
"sondé"	"sɔ̃de"	"sonder"
"sonjé"	"sɔ̃ʒe"	"songer"
"sonné"	"sɔ̃ne"	"sonner"
"soré"	"soʀe"	"essorer"
"sosé"	"sose"	"sauce > saucer"
"soté"	"sote"	"sauter"
"soté 2"	"sote"	"sursauter"
"sòti"	"sɔti"	"sortir"
"soudé"	"sude"	"souder"
"soufè"	"sufε"	"souffrir"
"souflé"	"sufle"	"souffler"
"souhaché"	"suhaʃe"	"xxx"
"soukwé"	"sukwe"	"secouer"
"soulajé"	"sulaʒe"	"soulager"
"soulé"	"sule"	"saouler"
"souligné"	"suliɲe"	"souligner"
"soulyété"	"suljete"	"soulier"
"soupé"	"supe"	"souper"
"soupézé"	"supeze"	"peser > soupeser"
"soupiré"	"supiʀe"	"soupirer"
"soupsonné"	"supsɔ̃ne"	"soupçonner"
"souri"	"suri"	"sourire"
"sousé"	"suse"	"sucer"
"sousyé"	"susje"	"soucier"
"soutiré"	"sutiʀe"	"tirer > soutirer"
"soutyenn"	"sutjɛ̃n"	"soutenir"
"sové"	"sove"	"sauver"
"stasyonné"	"stasjɔ̃ne"	"stationner"
"stoké"	"stoké"	"stocker"
"suifé"	"sɥife"	"suifer"
"suiv"	"sɥiv"	"suivre"
"suiyé"	"sɥije"	"essuyer"
"swagné"	"swaɲe"	"soigner"
"swé"	"swe"	"suer"
"swenté"	"swɛ̃te"	"suinter"
"swété"	"swete"	"souhaiter"
"syéjé"	"sjeʒe"	"siège > siéger"
"tablé"	"table"	"tabler"
"tablé 2"	"table"	"attabler"
"taché"	"taʃe"	"attacher"
"taché 2"	"taʃe"	"tacher"
"tadé"	"tade"	"tarder"
"takiné"	"takine"	"taquiner"
"taklé"	"takle"	"tackle (ang)"
"tanbouriné"	"tɑ̃buʀine"	"tambourin > tambouriner"
"tandé cf tann"	"tɑ̃de"	"xxx"
"tangé"	"tɑ̃ge"	"tanguer"
"tanmizé"	"tɑ̃mize"	"tamiser"
"tann"	"tɑ̃n"	"entendre"
"tann 2"	"tɑ̃n"	"étendre"
"tanné"	"tɑ̃ne"	"tanner"
"tanné 2"	"tɑ̃ne"	"tanner"
"tanpé"	"tɑ̃pe"	"xxx"
"tanpété"	"tɑ̃pete"	"tempête > tempêter"
"tanporizé"	"tɑ̃poʀize"	"temporiser"
"tansé"	"tɑ̃se"	"tancer"
"tanté"	"tɑ̃te"	"tenter"
"tanté 2"	"tɑ̃te"	"tenter"
"tapé"	"tape"	"taper"
"tapé 2"	"tape"	"taper"
"tasé"	"tase"	"tas > tasser"
"taté"	"tate"	"tâter"
"tatonné"	"tatɔ̃ne"	"tâtonner"
"tatwé"	"tatwe"	"tatouer"
"tawaché"	"tawaʃe"	"xxx"
"tayé"	"taje"	"tailler"
"tchansé cf kyansé"	"tʃɑ̃se"	"xxx"
"tchèk"	"tʃεk"	"xxx"
"tchèk 2"	"tʃεk"	"xxx"
"tchèk 3"	"tʃεk"	"xxx"
"tchèk 4"	"tʃεk"	"xxx"
"tchenbé"	"tʃɛ̃be"	"xxx"
"tchoké"	"tʃoke"	"xxx"
"téléfonné"	"telefɔ̃ne"	"téléphone > téléphoner"
"tenn"	"tɛ̃n"	"teindre"
"tèrbolizé"	"tεʀbolize"	"xxx"
"téré cf antéré"	"teʀe"	"terre > enterrer"
"tèsté"	"tεste"	"xxx"
"tèsté 2"	"tεste"	"tester"
"tété 2"	"tete"	"têter"
"tijé"	"tiʒe"	"tige"
"tijé 2"	"tiʒe"	"tige"
"tin"	"tin"	"xxx"
"tini"	"tini"	"xxx"
"tiré"	"tiʀe"	"tirer"
"tiré 2"	"tiʀe"	"tirer"
"tiré 3"	"tiʀe"	"tirer"
"tiré 4"	"tiʀe"	"tirer > retirer"
"tiré plan"	"tireplɑ̃"	"tirer"
"titibé"	"titibe"	"tituber"
"tiyé"	"tije"	"étriller"
"tiyé 2"	"tije"	"xxx"
"tizi"	"tizi"	"phtisie"
"tizonné"	"tizɔ̃ne"	"xxx"
"tòd"	"tɔd"	"tordre"
"tòk"	"tɔk"	"xxx"
"tonbé"	"tɔ̃be"	"tomber"
"tonbé léta"	"tɔ̃beleta"	"tomber"
"tonn"	"tɔ̃n"	"tondre"
"tòtòy"	"tɔtɔy"	"xxx"
"touché"	"tuʃe"	"toucher"
"toudi"	"tudi"	"étourdir"
"toufé"	"tufé"	"étouffer"
"toufé 2"	"tufe"	"étouffer"
"touné"	"tune"	"tourner"
"touné 2"	"tune"	"tourner"
"touné-viré"	"tuneviʀe"	"tournevirer(vx)fr mouvoir qqch"
"tousé"	"tuse"	"tousser"
"touvé"	"tuve"	"trouver"
"touwmanté"	"tuwmɑ̃te"	"tourmenter"
"trafiké"	"tʀafike"	"trafiquer >trafic"
"trakasé"	"tʀakase"	"tracasser"
"tranblé"	"tʀɑ̃ble"	"trembler"
"tranché"	"tʀɑ̃ʃe"	"trancher > tranche"
"tranglé"	"tʀɑ̃gle"	"étrangler"
"trankilizé"	"tʀɑ̃kilize"	"tranquille > tranquilliser"
"tranpé"	"tʀɑ̃pe"	"tremper"
"transplanté"	"tʀɑ̃splɑ̃te"	"transplanter"
"transvazé"	"tʀɑ̃svaze"	"transvaser"
"transvidé"	"tʀɑ̃svide"	"transvider"
"trapé"	"tʀape"	"attraper"
"trapé tren"	"tʀapetʀɛ̃"	"attraper"
"trasé"	"tʀase"	"tracer"
"trasé 2"	"tʀase"	"tracer"
"travay"	"tʀavaj"	"travailler"
